Log_ID,Date,Equipment_ID,Equipment_Type,Purchase_Date,Owner_Farm_ID,Operator_ID,Operator_Name,Experience_Years,Field_ID,Field_Name,Area_Acres,Hours_Used,Fuel_Liters,Maintenance_Type,Maintenance_Cost,Part_Replaced,Breakdown_Probability,Risk_Category
LOG-06501,2022-07-25,EQ-054,Tractor,2017-09-13,FARM-10,OP-048,William Smith,4.0,FLD-012,River Field,258.49,6.5,22.7,None,0.0,None,0.75,High
LOG-02945,2024/08/15,EQ-048,Tractor,2022-01-05,,OP-026,Grace Rodriguez,1.0,FLD-010,Hill Field,315.35,9.2,54.0,None,0.0,None,0.86,High
LOG-02025,2023/10/30,EQ-067,Harvester,,FARM-01,OP-039,Michael Williams,4.0,FLD-008,West Field,188.47,8.4,50.5,None,0.0,None,0.25,Low
LOG-00264,2023/09/13,EQ-087,Tractor,2019-05-19,FARM-05,OP-032,James Hernandez,8.0,FLD-005,North Field,357.3,3.7,23.3,None,0.0,None,0.78,High
LOG-04351,2023-06-16,EQ-044,Sprayer,2023-08-15,FARM-06,OP-009,,12.0,FLD-003,Golden Field,66.67,8.0,53.5,None,0.0,None,0.01,
LOG-03425,12-09-2024,EQ-003,Tractor,2022-08-03,FARM-09,OP-021,Chloe Jones,2.0,FLD-009,South Field,474.95,8.5,52.0,None,0.0,None,0.91,High
LOG-06749,2023-09-10,EQ-026,Planter,2018-01-10,FARM-09,OP-022,Robert Hernandez,14.0,FLD-003,Golden Field,66.67,4.6,18.0,None,0.0,None,0.14,Low
LOG-06216,"September 09, 2024",EQ-017,Sprayer,2021-06-22,FARM-04,OP-042,Daniel Garcia,10.0,FLD-004,Sunny Field,103.14,3.1,17.3,None,0.0,None,0.87,High
LOG-06363,2023-01-05,EQ-037,Sprayer,2017-06-17,FARM-03,OP-031,Alice Anderson,12.0,FLD-005,North Field,357.3,3.5,25.6,None,0.0,None,0.15,Low
LOG-05590,2022/11/05,EQ-039,Tractor,2016-09-18,FARM-03,OP-029,David Miller,5.0,FLD-002,Hill Field,223.83,10.2,51.9,None,0.0,None,0.12,Low
LOG-00133,2023-03-31,EQ-019,Sprayer,2015-11-23,FARM-04,OP-028,Alice Wilson,12.0,FLD-003,Golden Field,66.67,10.0,74.2,None,0.0,None,0.42,Medium
LOG-06407,2023-10-19,EQ-029,Sprayer,2019-07-02,FARM-05,OP-028,Alice Wilson,12.0,FLD-009,South Field,474.95,3.9,22.7,None,0.0,None,0.61,Medium
LOG-04280,2024-09-08,EQ-040,Planter,2021-09-08,FARM-02,OP-001,William Anderson,9.0,FLD-016,Valley Field,341.89,9.0,60.4,,0.0,,0.23,Low
LOG-02399,2023/11/07,EQ-099,Tractor,2021-12-11,FARM-02,OP-044,James Miller,11.0,FLD-011,South Field,362.68,5.7,17.6,None,0.0,None,0.1,Low
LOG-05713,2024-08-04,,Planter,2016-09-26,FARM-04,OP-018,David Jones,10.0,FLD-005,North Field,357.3,5.7,29.0,None,0.0,None,0.65,Medium
LOG-03255,2023-04-11,EQ-020,Tractor,2019-04-06,FARM-05,OP-012,Daniel Wilson,18.0,FLD-006,North Field,264.76,10.4,52.4,None,0.0,None,0.13,Low
LOG-06027,2024-06-02,EQ-021,Planter,2022-02-16,FARM-06,OP-027,Emily Johnson,5.0,FLD-012,River Field,258.49,11.6,45.3,None,0.0,None,0.66,Medium
LOG-02265,2022-06-02,EQ-050,Harvester,2021-01-18,FARM-09,OP-039,Michael Williams,4.0,FLD-006,North Field,264.76,2.1,13.4,None,0.0,None,0.55,Medium
LOG-01942,2022-07-16,EQ-073,Tractor,2022-05-23,FARM-07,OP-037,John Williams,11.0,,River Field,258.49,5.2,31.8,None,0.0,None,0.33,Medium
LOG-00764,2024-06-24,EQ-097,Planter,2016-05-06,FARM-10,OP-037,John Williams,11.0,FLD-005,,357.3,4.7,16.7,None,0.0,None,0.05,Low
LOG-03177,2023-08-22,EQ-004,Tractor,2021-08-15,FARM-07,OP-004,David Hernandez,10.0,FLD-017,East Field,311.6,6.5,28.2,None,0.0,None,0.26,Low
LOG-03046,"April 07, 2022",EQ-017,Sprayer,2021-06-22,FARM-04,OP-012,Daniel Wilson,18.0,FLD-006,,264.76,5.1,18.9,Routine,1443.28,None,0.73,High
LOG-03065,07-02-2023,EQ-013,Tractor,2019-01-10,FARM-06,OP-026,Grace Rodriguez,1.0,FLD-017,East Field,311.6,8.6,29.6,None,0.0,None,0.5,Medium
LOG-00102,2024-12-22,EQ-082,Tractor,2015-07-27,FARM-09,OP-002,James Hernandez,11.0,FLD-003,Golden Field,66.67,3.4,17.3,None,0.0,None,0.37,Medium
LOG-06238,2023-07-11,EQ-038,Planter,2016-01-08,FARM-01,OP-046,Michael Garcia,17.0,FLD-008,West Field,188.47,1.5,9.0,None,0.0,None,0.84,High
LOG-01372,2024-05-14,EQ-066,,2015-10-18,FARM-01,OP-034,Grace Martinez,5.0,FLD-013,Valley Field,169.83,4.9,24.6,None,0.0,None,0.71,High
LOG-00626,"May 28, 2023",EQ-026,Planter,2018-01-10,FARM-09,OP-030,Alice Jones,12.0,FLD-003,Golden Field,66.67,4.6,28.7,None,0.0,None,0.17,Low
LOG-03917,2023/11/08,EQ-021,Planter,2022-02-16,FARM-06,OP-019,James Lopez,11.0,FLD-018,River Field,208.98,4.9,26.1,None,0.0,None,0.04,Low
LOG-01076,2023-10-18,EQ-090,Sprayer,2017-06-10,FARM-01,OP-003,Sarah Jones,13.0,FLD-020,West Field,220.65,4.4,35.0,Repair,1495.43,Hydraulics,0.57,Medium
LOG-03257,2022-12-20,EQ-003,Tractor,2022-08-03,FARM-09,OP-009,David Anderson,12.0,FLD-009,South Field,474.95,11.0,68.8,None,0.0,None,0.26,Low
LOG-02317,2024-07-12,EQ-043,Tractor,2022-08-18,FARM-02,OP-049,Michael Williams,19.0,FLD-019,,158.9,4.6,26.8,Inspection,297.94,None,0.73,High
LOG-00562,2022-03-28,EQ-051,Tractor,2021-09-19,FARM-06,OP-016,David Jones,4.0,FLD-001,Sunny Field,222.94,7.4,47.8,None,0.0,None,0.16,Low
LOG-05445,2023-10-30,EQ-096,Tractor,2022-07-28,FARM-04,,Daniel Garcia,10.0,FLD-009,South Field,474.95,7.8,5240.0,None,0.0,None,0.69,Medium
LOG-05104,2022-04-02,EQ-015,Tractor,2019-03-31,FARM-02,OP-015,Laura Anderson,4.0,FLD-015,West Field,216.02,3.8,21.0,None,0.0,None,0.14,Low
LOG-03008,2023-04-10,EQ-085,Planter,2017-05-25,FARM-07,OP-020,James Hernandez,9.0,FLD-006,North Field,264.76,3.5,15.8,None,0.0,None,0.98,High
LOG-01116,2022-03-28,EQ-068,Sprayer,2015-10-18,FARM-09,OP-044,James Miller,11.0,FLD-020,West Field,220.65,7.7,60.2,None,0.0,None,0.87,High
LOG-03909,2022-09-15,EQ-061,Planter,2022-07-14,FARM-06,OP-014,John Hernandez,18.0,FLD-002,Hill Field,,9.5,39.0,None,0.0,None,0.82,High
LOG-02154,,EQ-007,Tractor,2021-04-17,FARM-04,OP-030,Alice Jones,12.0,FLD-008,West Field,188.47,1.9,6.2,None,0.0,None,0.36,Medium
LOG-06224,2022-03-08,,Sprayer,2015-11-23,FARM-04,OP-045,Michael Wilson,,FLD-005,North Field,357.3,5.4,30.8,None,0.0,None,0.64,Medium
LOG-05292,2022-05-20,EQ-034,Harvester,2023-05-10,FARM-09,OP-003,Sarah Jones,13.0,FLD-008,,188.47,11.9,68.0,None,0.0,None,0.98,High
LOG-03510,2022-12-21,EQ-069,Harvester,2018-02-14,,OP-031,Alice Anderson,12.0,FLD-005,North Field,,4.9,23.6,None,0.0,None,0.34,Medium
LOG-01288,2023-08-14,EQ-059,Plntr,2017-05-17,FARM-09,OP-037,John Williams,11.0,FLD-012,River Field,258.49,2.2,,None,0.0,None,0.15,Low
LOG-00246,03-01-2023,EQ-073,Tractor,2022-05-23,FARM-07,OP-043,Sarah Brown,1.0,FLD-002,Hill Field,,11.2,51.2,,0.0,None,0.59,
LOG-01796,2022-10-29,EQ-006,Harvester,2017-08-10,FARM-09,OP-015,Laura Anderson,4.0,FLD-007,Golden Field,346.56,4.3,29.0,None,0.0,None,0.37,Medium
LOG-05254,2022-09-07,EQ-021,,2022-02-16,FARM-06,OP-045,Michael Wilson,3.0,FLD-008,West Field,188.47,7.4,37.1,Routine,575.22,None,0.95,High
LOG-03033,26-07-2024,EQ-012,Tractor,2016-01-15,FARM-07,OP-008,James Rodriguez,,FLD-009,South Field,474.95,6.8,36.3,None,0.0,None,0.22,Low
LOG-02863,2023-09-28,EQ-094,Harvester,2015-08-21,FARM-09,OP-012,Daniel Wilson,18.0,FLD-010,Hill Field,315.35,4.0,21.0,None,0.0,None,0.01,Low
LOG-02674,2022-04-15,EQ-046,Harvester,2020-02-02,FARM-01,,James Miller,11.0,FLD-020,West Field,220.65,8.9,38.2,None,,None,0.29,Low
LOG-05988,2022-06-22,EQ-015,Tractor,2019-03-31,FARM-02,OP-026,Grace Rodriguez,1.0,FLD-013,Valley Field,169.83,7.2,39.6,None,0.0,None,0.32,Medium
LOG-00178,2023-02-03,EQ-006,Harvester,2017-08-10,FARM-09,OP-026,Grace Rodriguez,1.0,FLD-002,Hill Field,223.83,5.0,22.2,None,0.0,None,0.45,Medium
